feature,category
sensor_4_roll5_mean,rolling_mean
sensor_4_roll5_std,rolling_std
sensor_4_roll5_min,rolling_min
sensor_4_roll5_max,rolling_max
sensor_4_roll5_range,rolling_range
sensor_5_roll5_mean,rolling_mean
sensor_5_roll5_std,rolling_std
sensor_5_roll5_min,rolling_min
sensor_5_roll5_max,rolling_max
sensor_5_roll5_range,rolling_range
sensor_6_roll5_mean,rolling_mean
sensor_6_roll5_std,rolling_std
sensor_6_roll5_min,rolling_min
sensor_6_roll5_max,rolling_max
sensor_6_roll5_range,rolling_range
sensor_7_roll5_mean,rolling_mean
sensor_7_roll5_std,rolling_std
sensor_7_roll5_min,rolling_min
sensor_7_roll5_max,rolling_max
sensor_7_roll5_range,rolling_range
sensor_8_roll5_mean,rolling_mean
sensor_8_roll5_std,rolling_std
sensor_8_roll5_min,rolling_min
sensor_8_roll5_max,rolling_max
sensor_8_roll5_range,rolling_range
sensor_9_roll5_mean,rolling_mean
sensor_9_roll5_std,rolling_std
sensor_9_roll5_min,rolling_min
sensor_9_roll5_max,rolling_max
sensor_9_roll5_range,rolling_range
sensor_10_roll5_mean,rolling_mean
sensor_10_roll5_std,rolling_std
sensor_10_roll5_min,rolling_min
sensor_10_roll5_max,rolling_max
sensor_10_roll5_range,rolling_range
sensor_11_roll5_mean,rolling_mean
sensor_11_roll5_std,rolling_std
sensor_11_roll5_min,rolling_min
sensor_11_roll5_max,rolling_max
sensor_11_roll5_range,rolling_range
sensor_12_roll5_mean,rolling_mean
sensor_12_roll5_std,rolling_std
sensor_12_roll5_min,rolling_min
sensor_12_roll5_max,rolling_max
sensor_12_roll5_range,rolling_range
sensor_13_roll5_mean,rolling_mean
sensor_13_roll5_std,rolling_std
sensor_13_roll5_min,rolling_min
sensor_13_roll5_max,rolling_max
sensor_13_roll5_range,rolling_range
sensor_14_roll5_mean,rolling_mean
sensor_14_roll5_std,rolling_std
sensor_14_roll5_min,rolling_min
sensor_14_roll5_max,rolling_max
sensor_14_roll5_range,rolling_range
sensor_15_roll5_mean,rolling_mean
sensor_15_roll5_std,rolling_std
sensor_15_roll5_min,rolling_min
sensor_15_roll5_max,rolling_max
sensor_15_roll5_range,rolling_range
sensor_16_roll5_mean,rolling_mean
sensor_16_roll5_std,rolling_std
sensor_16_roll5_min,rolling_min
sensor_16_roll5_max,rolling_max
sensor_16_roll5_range,rolling_range
sensor_17_roll5_mean,rolling_mean
sensor_17_roll5_std,rolling_std
sensor_17_roll5_min,rolling_min
sensor_17_roll5_max,rolling_max
sensor_17_roll5_range,rolling_range
sensor_18_roll5_mean,rolling_mean
sensor_18_roll5_std,rolling_std
sensor_18_roll5_min,rolling_min
sensor_18_roll5_max,rolling_max
sensor_18_roll5_range,rolling_range
sensor_19_roll5_mean,rolling_mean
sensor_19_roll5_std,rolling_std
sensor_19_roll5_min,rolling_min
sensor_19_roll5_max,rolling_max
sensor_19_roll5_range,rolling_range
sensor_20_roll5_mean,rolling_mean
sensor_20_roll5_std,rolling_std
sensor_20_roll5_min,rolling_min
sensor_20_roll5_max,rolling_max
sensor_20_roll5_range,rolling_range
sensor_21_roll5_mean,rolling_mean
sensor_21_roll5_std,rolling_std
sensor_21_roll5_min,rolling_min
sensor_21_roll5_max,rolling_max
sensor_21_roll5_range,rolling_range
sensor_1_roll10_mean,rolling_mean
sensor_1_roll10_std,rolling_std
sensor_1_roll10_min,rolling_min
sensor_1_roll10_max,rolling_max
sensor_1_roll10_range,rolling_range
sensor_2_roll10_mean,rolling_mean
sensor_2_roll10_std,rolling_std
sensor_2_roll10_min,rolling_min
sensor_2_roll10_max,rolling_max
sensor_2_roll10_range,rolling_range
sensor_3_roll10_mean,rolling_mean
sensor_3_roll10_std,rolling_std
sensor_3_roll10_min,rolling_min
sensor_3_roll10_max,rolling_max
sensor_3_roll10_range,rolling_range
sensor_4_roll10_mean,rolling_mean
sensor_4_roll10_std,rolling_std
sensor_4_roll10_min,rolling_min
sensor_4_roll10_max,rolling_max
sensor_4_roll10_range,rolling_range
sensor_5_roll10_mean,rolling_mean
sensor_5_roll10_std,rolling_std
sensor_5_roll10_min,rolling_min
sensor_5_roll10_max,rolling_max
sensor_5_roll10_range,rolling_range
sensor_6_roll10_mean,rolling_mean
sensor_6_roll10_std,rolling_std
sensor_6_roll10_min,rolling_min
sensor_6_roll10_max,rolling_max
sensor_6_roll10_range,rolling_range
sensor_7_roll10_mean,rolling_mean
sensor_7_roll10_std,rolling_std
sensor_7_roll10_min,rolling_min
sensor_7_roll10_max,rolling_max
sensor_7_roll10_range,rolling_range
sensor_8_roll10_mean,rolling_mean
sensor_8_roll10_std,rolling_std
sensor_8_roll10_min,rolling_min
sensor_8_roll10_max,rolling_max
sensor_8_roll10_range,rolling_range
sensor_9_roll10_mean,rolling_mean
sensor_9_roll10_std,rolling_std
sensor_9_roll10_min,rolling_min
sensor_9_roll10_max,rolling_max
sensor_9_roll10_range,rolling_range
sensor_10_roll10_mean,rolling_mean
sensor_10_roll10_std,rolling_std
sensor_10_roll10_min,rolling_min
sensor_10_roll10_max,rolling_max
sensor_10_roll10_range,rolling_range
sensor_11_roll10_mean,rolling_mean
sensor_11_roll10_std,rolling_std
sensor_11_roll10_min,rolling_min
sensor_11_roll10_max,rolling_max
sensor_11_roll10_range,rolling_range
sensor_12_roll10_mean,rolling_mean
sensor_12_roll10_std,rolling_std
sensor_12_roll10_min,rolling_min
sensor_12_roll10_max,rolling_max
sensor_12_roll10_range,rolling_range
sensor_13_roll10_mean,rolling_mean
sensor_13_roll10_std,rolling_std
sensor_13_roll10_min,rolling_min
sensor_13_roll10_max,rolling_max
sensor_13_roll10_range,rolling_range
sensor_14_roll10_mean,rolling_mean
sensor_14_roll10_std,rolling_std
sensor_14_roll10_min,rolling_min
sensor_14_roll10_max,rolling_max
sensor_14_roll10_range,rolling_range
sensor_15_roll10_mean,rolling_mean
sensor_15_roll10_std,rolling_std
sensor_15_roll10_min,rolling_min
sensor_15_roll10_max,rolling_max
sensor_15_roll10_range,rolling_range
sensor_16_roll10_mean,rolling_mean
sensor_16_roll10_std,rolling_std
sensor_16_roll10_min,rolling_min
sensor_16_roll10_max,rolling_max
sensor_16_roll10_range,rolling_range
sensor_17_roll10_mean,rolling_mean
sensor_17_roll10_std,rolling_std
sensor_17_roll10_min,rolling_min
sensor_17_roll10_max,rolling_max
sensor_17_roll10_range,rolling_range
sensor_18_roll10_mean,rolling_mean
sensor_18_roll10_std,rolling_std
sensor_18_roll10_min,rolling_min
sensor_18_roll10_max,rolling_max
sensor_18_roll10_range,rolling_range
sensor_19_roll10_mean,rolling_mean
sensor_19_roll10_std,rolling_std
sensor_19_roll10_min,rolling_min
sensor_19_roll10_max,rolling_max
sensor_19_roll10_range,rolling_range
sensor_20_roll10_mean,rolling_mean
sensor_20_roll10_std,rolling_std
sensor_20_roll10_min,rolling_min
sensor_20_roll10_max,rolling_max
sensor_20_roll10_range,rolling_range
sensor_21_roll10_mean,rolling_mean
sensor_21_roll10_std,rolling_std
sensor_21_roll10_min,rolling_min
sensor_21_roll10_max,rolling_max
sensor_21_roll10_range,rolling_range
sensor_1_roll20_mean,rolling_mean
sensor_1_roll20_std,rolling_std
sensor_1_roll20_min,rolling_min
sensor_1_roll20_max,rolling_max
sensor_1_roll20_range,rolling_range
sensor_2_roll20_mean,rolling_mean
sensor_2_roll20_std,rolling_std
sensor_2_roll20_min,rolling_min
sensor_2_roll20_max,rolling_max
sensor_2_roll20_range,rolling_range
sensor_3_roll20_mean,rolling_mean
sensor_3_roll20_std,rolling_std
sensor_3_roll20_min,rolling_min
sensor_3_roll20_max,rolling_max
sensor_3_roll20_range,rolling_range
sensor_4_roll20_mean,rolling_mean
sensor_4_roll20_std,rolling_std
sensor_4_roll20_min,rolling_min
sensor_4_roll20_max,rolling_max
sensor_4_roll20_range,rolling_range
sensor_5_roll20_mean,rolling_mean
sensor_5_roll20_std,rolling_std
sensor_5_roll20_min,rolling_min
sensor_5_roll20_max,rolling_max
sensor_5_roll20_range,rolling_range
sensor_6_roll20_mean,rolling_mean
sensor_6_roll20_std,rolling_std
sensor_6_roll20_min,rolling_min
sensor_6_roll20_max,rolling_max
sensor_6_roll20_range,rolling_range
sensor_7_roll20_mean,rolling_mean
sensor_7_roll20_std,rolling_std
sensor_7_roll20_min,rolling_min
sensor_7_roll20_max,rolling_max
sensor_7_roll20_range,rolling_range
sensor_8_roll20_mean,rolling_mean
sensor_8_roll20_std,rolling_std
sensor_8_roll20_min,rolling_min
sensor_8_roll20_max,rolling_max
sensor_8_roll20_range,rolling_range
sensor_9_roll20_mean,rolling_mean
sensor_9_roll20_std,rolling_std
sensor_9_roll20_min,rolling_min
sensor_9_roll20_max,rolling_max
sensor_9_roll20_range,rolling_range
sensor_10_roll20_mean,rolling_mean
sensor_10_roll20_std,rolling_std
sensor_10_roll20_min,rolling_min
sensor_10_roll20_max,rolling_max
sensor_10_roll20_range,rolling_range
sensor_11_roll20_mean,rolling_mean
sensor_11_roll20_std,rolling_std
sensor_11_roll20_min,rolling_min
sensor_11_roll20_max,rolling_max
sensor_11_roll20_range,rolling_range
sensor_12_roll20_mean,rolling_mean
sensor_12_roll20_std,rolling_std
sensor_12_roll20_min,rolling_min
sensor_12_roll20_max,rolling_max
sensor_12_roll20_range,rolling_range
sensor_13_roll20_mean,rolling_mean
sensor_13_roll20_std,rolling_std
sensor_13_roll20_min,rolling_min
sensor_13_roll20_max,rolling_max
sensor_13_roll20_range,rolling_range
sensor_14_roll20_mean,rolling_mean
sensor_14_roll20_std,rolling_std
sensor_14_roll20_min,rolling_min
sensor_14_roll20_max,rolling_max
sensor_14_roll20_range,rolling_range
sensor_15_roll20_mean,rolling_mean
sensor_15_roll20_std,rolling_std
sensor_15_roll20_min,rolling_min
sensor_15_roll20_max,rolling_max
sensor_15_roll20_range,rolling_range
sensor_16_roll20_mean,rolling_mean
sensor_16_roll20_std,rolling_std
sensor_16_roll20_min,rolling_min
sensor_16_roll20_max,rolling_max
sensor_16_roll20_range,rolling_range
sensor_17_roll20_mean,rolling_mean
sensor_17_roll20_std,rolling_std
sensor_17_roll20_min,rolling_min
sensor_17_roll20_max,rolling_max
sensor_17_roll20_range,rolling_range
sensor_18_roll20_mean,rolling_mean
sensor_18_roll20_std,rolling_std
sensor_18_roll20_min,rolling_min
sensor_18_roll20_max,rolling_max
sensor_18_roll20_range,rolling_range
sensor_19_roll20_mean,rolling_mean
sensor_19_roll20_std,rolling_std
sensor_19_roll20_min,rolling_min
sensor_19_roll20_max,rolling_max
sensor_19_roll20_range,rolling_range
sensor_20_roll20_mean,rolling_mean
sensor_20_roll20_std,rolling_std
sensor_20_roll20_min,rolling_min
sensor_20_roll20_max,rolling_max
sensor_20_roll20_range,rolling_range
sensor_21_roll20_mean,rolling_mean
sensor_21_roll20_std,rolling_std
sensor_21_roll20_min,rolling_min
sensor_21_roll20_max,rolling_max
sensor_21_roll20_range,rolling_range
